signal,target_role,target,universe,country_median_delta_r2,country_positive_share,country_increment_comparisons,country_median_delta_mae,future_aggregate_median_delta_r2,future_aggregate_positive_share,country_median_model_minus_benchmark_r2,country_benchmark_positive_share,country_benchmark_comparisons,future_aggregate_median_model_minus_benchmark_r2,future_aggregate_benchmark_positive_share,future_cutoffs_tested,future_cutoffs_supported,future_cutoff_supported_share,future_any_increment_supported,future_any_benchmark_supported,future_min_median_delta_r2,future_max_median_delta_r2,universe_type,universe_threshold,country_years,countries,nigeria_included,point_estimate_setup_verdict_deprecated,bootstrap_units,material_units,marginal_units,setup_dependent_units,unsupported_units,coverage_limited_units,positive_or_better_share,bootstrap_five_way_setup_verdict,verdict_scheme_order,setup_verdict,decision_basis,material_setup_requires_caution,material_setup_interpretation
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge1pct,0.0138801299875704,0.8666666666666667,15,0.0019804629696927,0.0109311844042546,1.0,0.1430579668731137,1.0,15,0.2064332660440724,1.0,5,5,1.0,True,True,0.0082629689959669,0.0158502439710032,oil_rent_threshold,1.0,1689,69,True,Evidence-supported across country and cutoff tests,18,11,4,3,0,0,0.8333333333333334,Supported and practically material,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited,Supported and practically material,Paired country-cluster bootstrap across algorithms and prespecified validation geometries; point-estimate verdict retained only for audit comparison.,True,"Supportive but not standalone confirmatory evidence: the two ge1pct material cells arise from correlated prespecified setups, have lower uncertainty bounds close to zero, and use conditional fixed-prediction bootstrap intervals that exclude model-refitting variability."
Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge1pct,0.0002584176349924,0.5333333333333333,15,-0.0026754259288068,0.0012772617206228,0.7333333333333333,0.1542529222048348,1.0,15,0.2060225219925423,1.0,5,4,0.8,True,True,-1.2201137988832045e-08,0.0017639393019203,oil_rent_threshold,1.0,1390,69,True,Conditional/validation-cutoff-dependent,18,0,7,8,3,0,0.3888888888888889,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited,Setup-dependent,Paired country-cluster bootstrap across algorithms and prespecified validation geometries; point-estimate verdict retained only for audit comparison.,False,No additional material-cell qualification beyond the five-way verdict and cross-setup guardrail.
Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,0.0002144109839851,0.5333333333333333,15,-0.0009047885089303,0.0009233359061174,0.8,0.0758238345039438,0.8,15,0.1855665764960357,1.0,5,5,1.0,True,True,0.0004962768918054,0.0021869218824093,oil_rent_threshold,5.0,892,45,True,Conditional/validation-cutoff-dependent,18,0,8,5,5,0,0.4444444444444444,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited,Setup-dependent,Paired country-cluster bootstrap across algorithms and prespecified validation geometries; point-estimate verdict retained only for audit comparison.,False,No additional material-cell qualification beyond the five-way verdict and cross-setup guardrail.
Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,-0.0008498349526442,0.3333333333333333,15,0.0,0.0004264040174626,0.6,0.1262531319914006,0.9333333333333332,15,0.2013210646949486,1.0,5,3,0.6,True,True,-0.0005104029822316,0.000812827996036,oil_rent_threshold,10.0,654,34,True,Conditional/validation-cutoff-dependent,18,0,5,6,4,3,0.2777777777777778,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited,Setup-dependent,Paired country-cluster bootstrap across algorithms and prespecified validation geometries; point-estimate verdict retained only for audit comparison.,False,No additional material-cell qualification beyond the five-way verdict and cross-setup guardrail.
Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,-0.0027917282889491,0.2666666666666666,15,0.0028328479903737,-0.0020725578416856,0.2666666666666666,0.0706212719845373,0.9333333333333332,15,0.1334190960885002,1.0,5,1,0.2,True,True,-0.0029771772136005,6.574449328722309e-06,oil_rent_threshold,15.0,570,30,True,Conditional/validation-cutoff-dependent,18,0,1,6,8,3,0.0555555555555555,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited,Setup-dependent,Paired country-cluster bootstrap across algorithms and prespecified validation geometries; point-estimate verdict retained only for audit comparison.,False,No additional material-cell qualification beyond the five-way verdict and cross-setup guardrail.
Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,0.0073812955464847,0.7333333333333333,15,-0.0052316696198478,0.005722402526557,0.8,0.1527685928388032,1.0,15,0.2293130768427303,1.0,5,5,1.0,True,True,0.0054033590883819,0.0062697432281224,all,,3828,184,True,Evidence-supported across country and cutoff tests,18,4,10,2,2,0,0.7777777777777778,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited,Setup-dependent,Paired country-cluster bootstrap across algorithms and prespecified validation geometries; point-estimate verdict retained only for audit comparison.,False,No additional material-cell qualification beyond the five-way verdict and cross-setup guardrail.
Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge1pct,0.002752341279691,0.8,15,-0.0097749343384139,-2.721062797861329e-07,0.4666666666666667,0.1493812965776905,1.0,15,0.1855154726124112,1.0,5,2,0.4,True,True,-0.0022358869884507,0.001956296479896,oil_rent_threshold,1.0,1391,69,True,Conditional/validation-cutoff-dependent,18,0,5,7,6,0,0.2777777777777778,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited,Setup-dependent,Paired country-cluster bootstrap across algorithms and prespecified validation geometries; point-estimate verdict retained only for audit comparison.,False,No additional material-cell qualification beyond the five-way verdict and cross-setup guardrail.
Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,0.0030757540265502,0.6666666666666666,15,-0.0143210267319893,0.0014573452902429,0.8666666666666667,0.0944630015993399,0.8666666666666667,15,0.1517442216591654,1.0,5,5,1.0,True,True,0.0006834247392857,0.0019522077054089,oil_rent_threshold,5.0,893,45,True,Evidence-supported across country and cutoff tests,18,0,10,7,1,0,0.5555555555555556,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited,Setup-dependent,Paired country-cluster bootstrap across algorithms and prespecified validation geometries; point-estimate verdict retained only for audit comparison.,False,No additional material-cell qualification beyond the five-way verdict and cross-setup guardrail.
Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,0.0016147056639988,0.6,15,-0.0090315262811033,0.0013558614495035,0.8666666666666667,0.0569302809239683,0.7333333333333333,15,0.1587832135243774,1.0,5,5,1.0,True,True,0.0005885218592237,0.0021127444307323,oil_rent_threshold,10.0,655,34,True,Evidence-supported across country and cutoff tests,18,0,7,5,3,3,0.3888888888888889,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited,Setup-dependent,Paired country-cluster bootstrap across algorithms and prespecified validation geometries; point-estimate verdict retained only for audit comparison.,False,No additional material-cell qualification beyond the five-way verdict and cross-setup guardrail.
Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,-0.0014917047683138,0.2666666666666666,15,0.014187095578332,-0.0008479335159863,0.1333333333333333,0.0880945045624173,0.8,15,0.0367654219257503,0.8,5,0,0.0,False,True,-0.0034591757227601,-4.1442570948901913e-05,oil_rent_threshold,15.0,571,30,True,Model competitive; signal increment unsupported,18,0,1,4,10,3,0.0555555555555555,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited,Setup-dependent,Paired country-cluster bootstrap across algorithms and prespecified validation geometries; point-estimate verdict retained only for audit comparison.,False,No additional material-cell qualification beyond the five-way verdict and cross-setup guardrail.
Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,0.0036233349114319,0.6666666666666666,15,-0.0122645313085858,0.0025730011777839,0.7333333333333333,0.2209899936365023,1.0,15,0.2561664052277352,1.0,5,5,1.0,True,True,0.002353406555384,0.0030430590974316,all,,3829,184,True,Evidence-supported across country and cutoff tests,18,0,14,2,2,0,0.7777777777777778,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited,Setup-dependent,Paired country-cluster bootstrap across algorithms and prespecified validation geometries; point-estimate verdict retained only for audit comparison.,False,No additional material-cell qualification beyond the five-way verdict and cross-setup guardrail.
Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,-0.0013845379811107,0.4666666666666667,15,0.0665505879507679,0.000414085413383,0.8,0.0341783775953301,0.6666666666666666,15,-0.1544759115057413,0.4666666666666667,5,2,0.4,True,True,-0.0017760527616519,0.0004585712396723,all,,3828,184,True,Conditional/validation-cutoff-dependent,18,0,10,4,4,0,0.5555555555555556,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited,Setup-dependent,Paired country-cluster bootstrap across algorithms and prespecified validation geometries; point-estimate verdict retained only for audit comparison.,False,No additional material-cell qualification beyond the five-way verdict and cross-setup guardrail.
